"date","MID","OEX","GSPC"
631497600,109.13,329.55,352.2
632102400,105.12,318.66,339.93
632707200,104.46,319.62,339.15
633312000,100,305.62,325.8
633916800,101.19,308.97,330.92
634521600,103.33,312.71,333.62
635126400,103.54,311.68,332.72
635731200,101.14,304.4,324.15
636336000,103.77,315.66,335.54
636940800,105.28,318.13,337.93
637545600,106.01,322.94,341.91
638150400,104.69,318.55,337.22
638755200,104.59,320.03,339.94
639360000,103.79,320.89,340.08
639878400,104.7,325.09,344.34
640569600,102.36,319.99,335.12
641174400,99.99,312.48,329.11
641779200,102.03,320.65,338.39
642384000,105.33,333.86,352
642988800,107.19,336.95,354.64
643593600,108.35,336.77,354.58
644198400,110.72,344.86,363.16
644803200,110.24,339.85,358.71
645408000,111.48,346.47,362.91
646012800,109.83,338.41,355.43
646617600,109.79,339.8,358.02
647222400,110.23,339.63,358.42
647827200,112.63,348.89,367.31
648432000,110.56,345.33,361.61
649036800,107.56,336.26,353.44
649641600,102.36,328.56,344.86
650246400,100.57,319.38,335.52
650851200,98.11,310.38,327.83
651456000,91.91,296.68,311.51
652060800,95.69,306.4,322.56
652665600,96.87,306.8,323.4
653270400,95.35,301.3,316.83
653875200,92.67,296.8,311.32
654480000,89.62,291.46,306.05
655084800,90.32,295.47,311.5
655689600,85.95,284.23,300.03
656294400,88.45,300.1,312.48
656899200,87.9,289.84,304.71
657504000,88.68,297.02,311.85
658108800,89.68,298.65,313.74
658713600,92.23,302.46,317.12
659318400,91.9,299.83,315.1
659923200,94.74,305.73,322.22
660528000,98.56,309.37,327.75
661132800,98.03,307.56,326.82
661737600,99.27,312.16,331.75
662342400,99.58,309.44,328.72
662947200,97.97,302.56,321
663552000,96.35,296.47,315.23
664156800,99.97,314.99,332.23
664761600,103.5,317.08,336.07
665366400,108.55,324.49,343.05
665971200,113.55,339.73,359.35
666576000,116.42,349.79,369.06
667180800,115.9,346.41,365.65
667785600,117.92,351.47,370.47
668390400,121.19,355.12,374.95
668995200,118.65,355.88,373.59
669600000,118.17,347.84,367.48
670118400,122.17,355.43,375.22
670809600,124.57,354.01,375.36
671414400,125.53,359.73,380.4
672019200,126.15,365.1,384.2
672624000,123.7,358.91,379.02
673228800,124,360.54,380.8
673833600,123.66,355.78,375.74
674438400,120.91,354.34,372.39
675043200,123.23,358.64,377.49
675648000,127.25,370.13,389.83
676252800,126.03,359.61,379.43
676857600,125.19,364.28,382.29
677462400,123.35,360.53,377.75
678067200,120.57,353.11,371.16
678672000,121.26,355.68,374.08
679276800,125.16,362.42,380.25
679881600,126.81,368.19,384.22
680486400,125.2,364,380.93
681091200,128.31,369.21,387.18
681696000,128.4,367.44,387.12
682300800,129.18,364.78,385.58
682905600,131.03,372.23,394.17
683510400,131.94,373.49,395.43
684115200,129.3,367.64,389.1
684720000,128.18,362.85,383.59
685324800,130.29,364.55,387.92
685929600,130.46,362.63,385.9
686534400,130.15,357.34,381.25
687139200,128.72,358.5,381.45
687744000,134.15,369.37,392.5
688348800,131.19,360.76,384.2
688953600,135.89,366.17,391.32
689558400,136.8,367.43,392.89
690163200,134.29,355.56,382.62
690768000,132.01,352.25,376.14
691372800,131.34,352.01,375.22
691977600,134.42,354.16,379.1
692582400,134.75,359.02,384.47
693187200,133.89,362.61,387.04
693792000,142.74,377.41,406.46
694396800,147.17,388.88,419.34
695001600,149.7,385.75,415.1
695606400,151.83,392.83,418.86
696211200,150.15,386.73,415.48
696816000,148.97,380.21,408.78
697420800,152.34,382.46,411.09
698025600,152.57,384.27,412.48
698630400,151.51,385.82,411.43
699235200,151.03,384.91,412.7
699840000,146.86,378.02,404.44
700444800,147.3,379.66,405.84
701049600,148.21,384.18,411.3
701654400,145.58,378.67,403.5
702259200,142.42,376.96,401.55
702864000,143.06,379.82,404.29
703382400,144.26,391.01,416.04
704073600,140.47,383.12,409.02
704678400,142.8,387.48,412.53
705283200,144.34,390.43,416.05
705888000,142.56,386.43,410.09
706492800,143.2,390.22,414.02
707097600,144.2,390.84,415.35
707702400,144.29,389.98,413.48
708307200,141.19,387.35,409.76
708912000,137.25,382.92,403.67
709516800,136.13,380.38,403.45
710035200,141.13,385.32,411.77
710726400,142.29,386.78,414.62
711331200,142.97,387.74,415.62
711936000,142.08,384.29,411.6
712540800,146.54,395.81,424.21
713145600,144.77,389.77,418.88
713750400,144.4,392.44,419.91
714355200,143.17,384.24,414.85
714960000,142.69,385.38,414.84
715564800,144.43,386,417.08
716169600,145.79,388.63,419.58
716774400,146.43,392.3,422.93
717379200,143.57,382.05,414.35
717984000,142.04,376.7,410.47
718588800,140.94,368.57,402.66
719193600,143.48,377.36,411.73
719798400,145.83,379.17,414.1
720403200,147.7,382.61,418.68
721008000,149.6,380.24,417.58
721612800,152.73,383.33,422.43
722217600,153.27,389.03,426.65
722822400,154.81,391.67,430.16
723427200,156.74,393.3,432.06
724032000,156.33,396.16,433.73
724636800,157.66,403.4,441.28
725155200,157.37,401.42,439.77
725760000,160.56,396.64,435.71
726451200,157.43,389.93,429.05
727056000,161.69,397.17,437.15
727660800,162.9,396.75,436.11
728265600,162.35,401.57,438.78
728870400,165.32,409.39,448.93
729475200,162.8,406.26,444.58
730080000,157.05,400.2,434.22
730684800,159.77,407.66,443.38
731289600,162.4,410.27,446.11
731894400,163.48,412.67,449.83
732499200,162.59,415.83,450.18
733104000,162.7,412.44,447.78
733708800,160.74,408.25,441.39
734227200,159.62,410.87,441.84
734918400,161.3,416.07,448.94
735523200,158.92,404.44,437.03
736128000,160.45,407.12,440.19
736732800,163.25,407.98,442.31
737337600,162.16,405.79,439.56
737942400,165.23,412.51,445.84
738547200,167.42,417.56,450.19
739152000,165.67,418.03,450.06
739756800,163.55,417.37,447.26
740361600,163.45,412.92,443.68
740966400,165.43,415.29,447.6
741571200,167.98,411.69,445.84
742176000,167.42,413.75,448.11
742780800,166.09,412.66,445.75
743385600,164.89,413.96,447.1
743990400,167.44,414.41,448.13
744595200,169.01,415.21,448.68
745200000,169.32,416.6,450.14
745804800,172.1,422.63,456.16
746409600,172.59,426.33,460.54
747014400,174.37,425.05,461.34
747619200,172.84,425.7,461.72
748224000,171.44,424.27,458.83
748828800,173.87,421.76,457.63
749433600,175.73,423.86,461.28
750038400,174.01,422.63,460.31
750643200,177.84,429.32,469.5
751248000,173.86,424.15,463.27
751852800,175.91,428.19,467.83
752457600,171.37,422.35,459.57
753062400,175.79,427.76,465.39
753667200,171.95,429.07,462.6
754272000,172.52,427.84,463.06
754876800,175.36,427.47,464.89
755481600,174.42,428,463.93
756086400,174.96,431.97,466.38
756604800,175.13,431.6,467.38
757296000,179.38,429.46,466.45
757900800,178.8,434.01,469.9
758505600,180.3,440.1,474.91
759110400,179.81,440.77,474.72
759715200,182.05,443.02,478.7
760320000,179.03,435.57,469.81
760924800,179.64,437.4,470.18
761529600,180.03,435.92,467.69
762134400,179.06,433.32,466.07
762739200,180.5,431.68,464.74
763344000,180.98,432.74,466.44
763948800,184.79,436.31,471.06
764553600,180.4,425.97,460.58
765072000,171.72,412.33,445.77
765763200,173.67,412.74,447.1
766368000,171.49,411.31,446.18
766972800,170.33,412.35,447.63
767577600,172.73,415.1,450.91
768182400,171.13,413.73,447.82
768787200,165.93,411.56,444.14
769392000,169.96,423.45,454.92
769996800,170.92,424.42,457.33
770601600,173.16,426.28,460.13
771206400,171.28,424.05,458.67
771811200,170.19,424.07,458.45
772416000,162.44,409.93,442.8
773020800,165.33,412.39,446.2
773625600,166.63,416.01,449.55
774230400,170.14,421.69,454.16
774835200,168.74,420.65,453.11
775440000,169.91,425.11,458.26
776044800,169.97,423.17,457.09
776649600,172.7,426.62,461.94
777254400,174.35,428.71,463.68
777859200,177.8,438.12,473.8
778464000,176.52,434.82,470.99
779068800,176.14,433.13,468.18
779673600,177.85,438.21,471.19
780278400,172.8,426.55,459.67
780883200,174.85,428.12,462.71
781488000,171.55,421.56,455.1
782092800,175.12,434.76,469.1
782697600,173.57,430.92,464.89
783302400,176.91,439.28,473.77
783907200,174.22,429.26,462.28
784512000,172.2,430.47,462.35
785116800,171.22,430.76,461.47
785721600,167.45,421.47,452.29
786326400,166.73,422.04,453.3
786931200,162.66,417.39,446.96
787536000,166.21,429.53,458.8
788140800,168.48,429.83,459.83
788745600,169.44,428.63,459.27
789350400,169.43,429.46,460.68
789955200,171.05,433.23,465.97
790560000,171.48,431.38,464.78
791164800,171.46,435.82,470.39
791769600,175.39,444.23,478.65
792374400,178.35,446.32,481.46
792979200,177.29,448.62,481.97
793584000,178.66,455.83,488.11
794188800,179.17,453.3,485.42
794793600,179.26,459.39,489.57
795398400,180.16,464.85,495.52
796003200,182,469.98,500.97
796608000,182.37,469.67,500.71
797212800,182.54,474.66,506.42
797731200,185.25,478.81,509.23
798422400,183.19,482.31,508.49
799027200,185.82,487.67,514.71
799632000,185.12,493.64,520.12
800236800,188.57,499.93,525.55
800841600,188.01,493.33,519.19
801446400,189.55,496.71,523.65
802051200,191.44,506.36,532.51
802656000,191.63,501.57,527.94
803260800,195.76,515.29,539.83
803865600,199.5,524.71,549.71
804470400,197.37,518,544.75
805075200,202.94,530.07,556.37
805680000,205.35,533.5,559.89
806284800,200.88,529.52,553.62
806889600,207.1,535.63,562.93
807494400,204.83,529.6,558.94
808099200,205.76,525.95,555.11
808704000,210.7,527.95,559.21
809308800,209.86,528.17,560.1
809913600,211.21,532.89,563.84
810518400,216.85,540.35,572.68
811123200,216.69,553.73,583.35
811728000,216.35,553.46,581.73
812332800,215.7,556.09,584.41
812937600,211.4,555.24,582.49
813542400,213.04,557.04,584.5
814147200,213.83,561.2,587.46
814752000,209.1,553.96,579.7
815356800,216.22,561.89,590.57
815961600,216.38,564.76,592.72
816566400,215.47,573.99,600.07
817171200,214.02,573.9,599.97
817776000,217.63,579.96,606.98
818380800,217.83,590.08,617.48
818985600,212.49,590.51,616.34
819590400,215.1,584.37,611.95
820195200,217.84,585.92,615.93
820800000,215.08,589.16,616.71
821404800,210.37,574.93,601.81
822009600,212.87,584.31,611.83
822614400,216.57,595.61,621.62
823219200,221.3,609.12,635.84
823824000,226.16,629.38,656.37
824428800,227.46,620.5,647.98
825033600,230.4,634.69,659.08
825638400,225.8,621,644.37
826243200,224.38,609.31,633.5
826848000,229.22,620.73,641.43
827452800,230.35,628.37,650.62
828057600,230.3,622.2,645.5
828576000,232.07,633.56,655.86
829267200,227.09,615.36,636.71
829872000,230.76,622.36,645.07
830476800,237.26,629.58,653.46
831081600,235.07,618.06,641.63
831686400,236.68,627.94,652.09
832291200,241.59,645.45,668.91
832896000,241.88,654.8,678.51
833500800,239.89,646.02,669.12
834105600,239.68,650.01,673.31
834710400,238.56,642.32,665.85
835315200,234.96,646.17,666.84
835920000,236,647.53,670.63
836524800,231.84,633.38,657.44
837129600,224.61,623.49,646.19
837734400,221.66,616.72,638.73
838339200,219.78,613,635.9
838944000,227.1,639.61,662.49
839548800,228.34,639.67,662.1
840153600,231.11,644.5,665.21
840758400,232.84,645.11,667.03
841363200,232.13,629.62,651.99
841968000,231.85,632.77,655.68
842572800,237.77,656.9,680.54
843177600,239.6,665.39,687.03
843782400,242.27,661.08,686.19
844387200,245.68,676.97,701.46
844992000,244.2,677.3,700.66
845596800,245.89,690,710.82
846201600,243.44,676.72,700.92
846806400,242.43,679.49,703.77
847411200,248.95,707.74,730.82
848016000,252.53,712.59,737.62
848620800,254.97,723.11,748.73
849225600,255.61,733.39,757.02
849830400,253.45,717.33,739.6
850435200,249.64,705.84,728.64
851040000,253.06,728.87,748.87
851644800,254.75,736.64,756.79
852249600,255.67,729.99,748.03
852854400,261.22,744.94,759.5
853459200,264.74,762.15,776.17
854064000,262.63,754.68,770.52
854668800,264.89,771.8,786.16
855273600,264.02,772.01,789.56
855878400,269.05,787.39,808.48
856483200,265.05,781,801.77
857088000,262.36,768.54,790.82
857692800,266.42,780.29,804.97
858297600,264.27,767.32,793.17
858902400,259.92,763.19,784.1
859420800,257.76,754.24,773.88
860112000,252.06,737.02,757.9
860716800,248.94,715.41,737.65
861321600,251.92,746.85,766.34
861926400,248.04,748.12,765.37
862531200,263.83,795.42,812.97
863136000,267.76,808.47,824.78
863740800,269.44,812.56,829.75
864345600,275.6,831.95,847.03
864950400,279.16,826.7,848.28
865555200,281.99,837.16,858.01
866160000,287.65,869.94,893.27
866764800,290,876.47,898.7
867369600,287.52,863.98,887.3
867888000,293.88,893.62,916.92
868579200,299.91,893.59,916.68
869184000,303.6,895.86,915.3
869788800,307.76,917.82,938.79
870393600,313.93,923.26,947.14
870998400,311.89,909.33,933.54
871603200,307.36,869.36,900.81
872208000,311.74,896.91,923.54
872812800,313.97,868.94,899.47
873417600,321.99,901.45,929.05
874022400,325.91,894.94,923.91
874627200,332.54,916.46,950.51
875232000,329.88,913.62,945.22
875836800,336,928.2,965.03
876441600,338.56,930.69,966.98
877046400,330.11,904.94,944.16
877651200,329.48,896.59,941.64
878256000,316.89,873.43,914.62
878860800,319.7,884.57,927.51
879465600,316.71,888.41,928.35
880070400,323.36,926.98,963.09
880675200,321.25,459.1,955.4
881280000,333.89,473.53,983.79
881884800,320.22,454.64,953.39
882489600,320.26,450.53,946.78
883094400,320.29,445.13,936.46
883699200,332.1,463.21,975.04
884304000,312.8,439.51,927.69
884908800,322.07,456.05,961.51
885513600,319.94,455.07,957.59
886118400,326.7,468.79,980.28
886723200,339.39,483.74,1012.46
887328000,343.89,488.76,1020.09
887932800,346.85,494.7,1034.21
888537600,353.39,501.93,1049.34
889142400,355.35,502.79,1055.69
889747200,361.28,508.46,1068.61
890352000,365.51,525.22,1099.16
890956800,367.5,525.18,1095.44
891561600,374.11,538.77,1122.7
892080000,368.95,533.2,1110.67
892771200,377.56,542.87,1122.72
893376000,371.71,535.17,1107.9
893980800,378.12,541.47,1121
894585600,374.61,535.94,1108.14
895190400,368.52,538.45,1108.73
895795200,363.22,539.03,1110.47
896400000,358.15,529.04,1090.82
897004800,359.66,539.78,1113.86
897609600,352.01,534.59,1098.84
898214400,348.72,535.48,1100.65
898819200,357.49,553.09,1133.2
899337600,365.42,559.38,1146.42
900028800,368.86,568.3,1164.33
900633600,374.7,581.34,1186.75
901238400,355.12,558.22,1140.8
901843200,345.76,550.93,1120.67
902448000,340.84,535.28,1089.45
903052800,329.85,522.77,1062.75
903657600,327.18,534.19,1081.24
904262400,299.87,507.67,1027.14
904867200,291.65,477.44,973.89
905472000,300.31,492.99,1009.06
906076800,307.86,495.25,1020.09
906681600,312.51,506.27,1044.75
907286400,299.39,486.49,1002.6
907891200,283.63,483.72,984.39
908496000,310.31,520.95,1056.42
909100800,318.74,527.78,1070.67
909705600,334.05,536.97,1098.67
910310400,351.96,558.87,1141.01
910915200,345.67,554.26,1125.72
911520000,353.57,574.97,1163.55
912124800,359.74,590.82,1192.33
912729600,355.54,580.15,1176.74
913334400,350.85,574.68,1166.46
913939200,354.39,589.84,1188.03
914457600,367.01,608.91,1226.27
915062400,392.31,604.03,1229.23
915753600,391.16,636.02,1275.09
916358400,383.91,616.46,1243.26
916963200,376.25,610.38,1225.19
917568000,376.7,640.44,1279.64
918172800,367.22,617.67,1239.4
918777600,359.95,616.14,1230.13
919382400,358.58,620.29,1239.22
919987200,356.5,618.42,1238.33
920592000,364.96,638.99,1275.47
921196800,364.1,648.27,1294.59
921801600,362.31,650.11,1299.29
922406400,363.06,643.68,1282.8
922924800,366.68,649.92,1293.72
923616000,368.96,681.34,1348.35
924220800,380.28,668.65,1319
924825600,389.9,687.41,1356.85
925430400,394.59,675.65,1335.18
926035200,398.74,681.74,1345
926640000,399.52,673.57,1337.8
927244800,403.01,671.76,1330.29
927849600,395.87,658.66,1301.84
928454400,403.65,672.42,1327.75
929059200,398.83,654.87,1293.64
929664000,407.49,683.47,1342.84
930268800,403.79,671.29,1315.31
930873600,419.82,716.28,1391.22
931478400,421.63,722.88,1403.28
932083200,427.82,733.79,1418.78
932688000,415.37,698.88,1356.94
933292800,407.46,683.29,1328.72
933897600,395.11,674.13,1300.29
934502400,401.35,688.82,1327.68
935107200,401.79,696.59,1336.61
935712000,398,707.97,1348.27
936316800,404.69,713.89,1357.24
936921600,408.47,712.79,1351.66
937526400,403.32,704.96,1335.42
938131200,382.43,672.8,1277.36
938736000,379.03,670.31,1282.81
939340800,385.07,698.45,1336.02
939945600,375.05,651.75,1247.41
940550400,382.85,685.63,1301.65
941155200,399.62,717.03,1362.93
941760000,413.6,718.8,1370.23
942364800,419.45,731.12,1396.06
942969600,432,749.3,1422
943574400,425.65,753.57,1416.62
944179200,432.93,767.48,1433.3
944784000,419.72,763.49,1417.04
945388800,417.11,773.93,1421.03
945907200,437.28,793.16,1458.34
946598400,444.67,792.83,1469.25
