"tenured","profnumber","minority","age","beautyf2upper","beautyflowerdiv","beautyfupperdiv","beautym2upper","beautymlowerdiv","beautymupperdiv","btystdave","btystdf2u","btystdfl","btystdfu","btystdm2u","btystdml","btystdmu","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","courseevaluation","didevaluation","female","formal","fulldept","lower","multipleclass","nonenglish","onecredit","percentevaluating","profevaluation","students","tenuretrack","blkandwhite","btystdvariance","btystdavepos","btystdaveneg","fit_m1","fit_m2","fit_m3","resid_m1","resid_m2","resid_m3"
"0","1","1",36,6,5,7,6,2,4,0.2015666,0.2893519,0.4580018,0.8758139,0.6817153,-0.9000649,-0.1954181,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.3,24,"1","0","1","0","1","0","0",55.81395,4.7,43,"1","0",2.129806,0.201567,0,4.47480095862083,4.48644132497907,0.205241555807581,0.225199041379166,0.213558675020932,-0.677815689226506
"1","2","0",59,2,4,4,3,2,3,-0.8260813,-1.619356,-0.0735065,-0.5770065,-1.131904,-0.9000649,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.5,17,"0","0","1","0","0","0","0",85,4.6,20,"1","0",1.386081,0,-0.826081,4.59984515306216,4.60094296640377,0.790168688589352,0.000154846937835629,-0.000942966403775003,0.686307258384153
"1","3","0",51,5,5,2,3,2,3,-0.6603327,-0.1878249,0.4580018,-1.545553,-1.131904,-0.9000649,-0.6546507,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.7,55,"0","0","1","0","1","0","0",100,4.1,55,"1","0",2.537435,0,-0.660333,3.90071505797475,3.8983966582372,0.723287431799103,0.19928494202525,0.201603341762802,0.804920594184994
"1","4","0",40,4,2,5,2,3,3,-0.7663125,-0.6650018,-1.136523,-0.092733,-1.736444,-0.3125226,-0.6546507,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.3,40,"1","0","1","0","1","0","0",86.95652,4.5,46,"1","0",1.760577,0,-0.766312,4.47673105380411,4.47790909431171,0.257562131442705,0.0232689461958948,0.0220909056882883,1.64711523630089
"0","5","0",31,9,7,9,6,7,6,1.421445,1.720883,1.521019,1.844361,0.6817153,2.037647,0.723047,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.4,42,"1","0","1","0","0","0","0",87.5,4.8,48,"1","0",1.6931,1.42145,0,4.59860792431892,4.59504727804195,0.141140167572459,0.201392075681085,0.204952721958052,-0.551633112857623
"1","6","0",62,5,6,6,6,5,5,0.5002196,-0.1878249,0.9895102,0.3915404,0.6817153,0.8625621,0.2638144,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2,182,"0","1","1","0","0","0","0",64.53901,4.4,282,"1","0",0.9447419,0.50022,0,4.31472654381565,4.31670043629925,0.844472848144109,0.085273456184348,0.0832995637007485,0.581451106542039
"0","7","0",33,5,4,4,4,4,4,-0.2143501,-0.1878249,-0.0735065,-0.5770065,-0.5273642,0.2750198,-0.1954181,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,33,"1","0","1","0","1","0","0",80.48781,4.4,41,"1","0",0.4898793,0,-0.21435,4.22363056428587,4.2229864594166,0.180303911587053,0.176369435714135,0.177013540583398,-0.63058961505641
"1","8","0",51,6,4,6,3,2,3,-0.346539,0.2893519,-0.0735065,0.3915404,-1.131904,-0.9000649,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.4,25,"1","0","1","0","0","0","0",60.97561,3.4,41,"1","0",2.041787,0,-0.346539,3.61889254557761,3.61825228248412,0.525758892305906,-0.218892545577608,-0.218252282484123,1.1339422833452
"0","9","0",33,5,3,7,5,5,3,0.0613435,-0.1878249,-0.6050149,0.8758139,0.0771755,0.8625621,-0.6546507,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.5,48,"1","0","1","0","0","0","0",80,4.8,60,"1","0",2.32433,0.061344,0,4.68468303028619,4.67940095580576,0.15590302676005,0.11531696971381,0.12059904419424,-0.582216272157737
"0","10","0",47,6,5,7,6,3,6,0.4525679,0.2893519,0.4580018,0.8758139,0.6817153,-0.3125226,0.723047,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.9,16,"0","0","1","0","1","0","0",84.21053,4,19,"0","0",0.916837,0.452568,0,4.09243343983263,4.08949468746022,0.622361272598205,-0.0924334398326296,-0.0894946874602178,-1.39557678971443
