"org","year","survey","bush","state","edu","age","female","black","weight","fit_m1","fit_m2","fit_m3","resid_m1","resid_m2","resid_m3"
"cbsnyt","1","9152","1","7","2","2","1","0",1403,0.578623260530761,0.575364062075291,0.563469890543338,1.04604367580604,1.05142977616701,1.07111286040358
"cbsnyt","1","9152","1","33","4","3","0","0",778,0.605768172088989,0.587485432106452,0.576905673136123,1.00125713022579,1.03141051932372,1.04888178927689
"cbsnyt","1","9152","0","20","2","1","1","0",1564,0.578623260530761,0.618618776814299,0.607214919110998,-1.31470755482544,-1.38849257709106,-1.36710839706778
"cbsnyt","1","9152","1","31","3","2","1","0",1055,0.578623260530761,0.600299212374826,0.589821746591937,1.04604367580604,1.01027428035935,1.02755526581454
"cbsnyt","1","9152","1","18","3","1","1","0",1213,0.578623260530761,0.642591751332584,0.632647656784368,1.04604367580604,0.940473996214408,0.95691340900219
"cbsnyt","1","9152","1","31","4","2","0","0",910,0.605768172088989,0.591503206552318,0.580455231285754,1.00125713022579,1.02478112250986,1.0430173553426
"cbsnyt","1","9152","1","40","1","3","0","0",735,0.605768172088989,0.519334030102965,0.5081144519119,1.00125713022579,1.14473402985914,1.16365678594721
"cbsnyt","1","9152","1","33","4","2","1","0",410,0.578623260530761,0.563378512649003,0.552011401741957,1.04604367580604,1.07126426523088,1.09012529333901
"cbsnyt","1","9152","0","22","4","2","1","0",410,0.578623260530761,0.563378512649003,0.552011401741957,-1.31470755482544,-1.2873916427331,-1.26727068711297
"cbsnyt","1","9152","1","22","4","3","0","0",778,0.605768172088989,0.587485432106452,0.576905673136123,1.00125713022579,1.03141051932372,1.04888178927689
"cbsnyt","1","9152","1","33","4","1","1","0",2118,0.578623260530761,0.607020234872644,0.596081571445564,1.04604367580604,0.99919282684475,1.01722933150826
"cbsnyt","1","9152","1","22","4","1","1","0",706,0.578623260530761,0.607020234872644,0.596081571445564,1.04604367580604,0.99919282684475,1.01722933150826
"cbsnyt","1","9152","1","39","2","3","1","0",1323,0.578623260530761,0.571302596810189,0.559885587936892,1.04604367580604,1.05814580074912,1.07705415219669
"cbsnyt","1","9152","1","33","2","3","0","0",735,0.605768172088989,0.599279921051876,0.588202427461663,1.00125713022579,1.0119550148903,1.03022728166004
