"neighborhood","dow","source","request_type","responsible_agency","request_details","count"
"Bayview","Sun","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Bayview","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",4
"Bayview","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",14
"Bayview","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Bayview","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Bayview","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",4
"Bayview","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",1
"Bayview","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",6
"Bayview","Sun","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",2
"Bayview","Mon","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Bayview","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",11
"Bayview","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",37
"Bayview","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Bayview","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",19
"Bayview","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",17
"Bayview","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"Bayview","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",21
"Bayview","Mon","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",3
"Bayview","Tues","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",2
"Bayview","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",12
"Bayview","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",13
"Bayview","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"Bayview","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"Bayview","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",14
"Bayview","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",22
