"","neighborhood","dow","source","request_type","responsible_agency","request_details","count"
"1","Bayview","Sun","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"2","Bayview","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",4
"3","Bayview","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",14
"4","Bayview","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"5","Bayview","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"6","Bayview","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",4
"7","Bayview","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",1
"8","Bayview","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",6
"9","Bayview","Sun","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",2
"10","Bayview","Mon","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"11","Bayview","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",11
"12","Bayview","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",37
"13","Bayview","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"14","Bayview","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",19
"15","Bayview","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",17
"16","Bayview","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"17","Bayview","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",21
"18","Bayview","Mon","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",3
"19","Bayview","Tues","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",2
"20","Bayview","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",12
"21","Bayview","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",13
"22","Bayview","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"23","Bayview","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"24","Bayview","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",14
"25","Bayview","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",22
"26","Bayview","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"27","Bayview","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",19
"28","Bayview","Tues","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"29","Bayview","Wed","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"30","Bayview","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",7
